Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
151,Marcus Morris Sr.,LAC,33,65,35,30,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1.0,1.3,78.2,0.4,3.5,4.0,1.8,0.9,0.6,0.3,2.1,20.6,2.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Kyle Lowry,MIA,37,55,30,25,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,0.8,3.3,4.1,5.1,1.9,1.0,0.4,2.6,26.1,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Corey Kispert,WAS,24,74,31,43,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1.0,1.2,85.2,0.4,2.4,2.8,1.2,0.7,0.4,0.1,1.3,17.1,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Jeremy Sochan,SAS,20,56,15,41,26.0,11.0,4.5,9.9,45.3,0.6,2.4,24.6,1.4,2.1,69.8,1.7,3.6,5.3,2.5,1.7,0.8,0.4,2.5,22.9,2.0,0.0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Mason Plumlee,LAC,33,79,28,51,26.0,10.8,4.2,6.1,68.0,0.0,0.0,0.0,2.5,4.0,63.6,2.9,6.0,8.9,3.1,1.5,0.6,0.6,2.7,28.2,23.0,0.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Jaylen Nowell,MIN,23,65,34,31,19.3,10.8,4.3,9.6,44.8,1.0,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2.0,1.0,0.6,0.1,1.6,18.2,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.1,1.5,0.5,1.9,22.4,0.0,0.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Ivica Zubac,LAC,26,76,43,33,28.5,10.8,4.3,6.8,63.4,0.0,0.0,0.0,2.2,3.1,69.7,3.1,6.8,9.9,1.0,1.5,0.4,1.3,2.9,27.7,27.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Talen Horton-Tucker,UTA,22,65,30,35,20.2,10.7,4.0,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75.0,0.6,2.6,3.2,3.8,1.9,0.6,0.4,1.7,21.6,2.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Victor Oladipo,MIA,31,42,23,19,26.3,10.7,3.8,9.6,39.7,1.7,5.0,33.0,1.4,1.9,74.7,0.4,2.7,3.0,3.5,2.1,1.4,0.3,2.4,22.4,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Nate Williams,POR,24,5,1,4,25.3,10.6,4.8,7.8,61.5,0.6,1.6,37.5,0.4,0.6,66.7,2.0,1.0,3.0,2.0,0.8,0.6,0.4,2.6,19.4,0.0,0.0,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Cam Thomas,BKN,21,57,30,27,16.6,10.6,3.5,8.0,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1.0,15.0,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Moritz Wagner,ORL,26,57,27,30,19.5,10.5,3.5,6.9,50.0,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Grayson Allen,MIL,27,72,53,19,27.4,10.4,3.4,7.7,44.0,2.0,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,1.0,0.9,0.2,1.6,19.9,0.0,0.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Killian Hayes,DET,21,76,16,60,28.3,10.3,4.0,10.7,37.7,1.1,3.8,28.0,1.2,1.5,82.1,0.4,2.5,2.9,6.2,2.3,1.4,0.4,2.9,26.0,6.0,0.0,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Tyus Jones,MEM,27,80,51,29,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.2,80.6,0.4,2.2,2.5,5.2,0.9,1.0,0.1,0.4,23.5,9.0,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Cameron Payne,PHX,28,48,27,21,20.2,10.3,3.9,9.4,41.5,1.4,3.9,36.8,1.0,1.3,76.6,0.3,2.0,2.2,4.5,1.7,0.7,0.2,1.8,20.5,3.0,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Monte Morris,WAS,28,62,28,34,27.4,10.3,4.0,8.3,48.0,1.3,3.3,38.2,1.0,1.2,83.1,0.4,3.0,3.4,5.3,1.0,0.7,0.2,1.2,24.0,2.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Doug McDermott,SAS,31,64,19,45,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.9,0.2,0.1,1.8,14.9,0.0,0.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Malaki Branham,SAS,20,66,15,51,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,1.2,0.5,0.1,1.7,17.0,0.0,0.0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Reggie Jackson,DEN,33,68,36,32,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1.0,1.1,91.0,0.4,1.8,2.1,3.4,1.7,0.7,0.1,1.7,18.5,1.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Patrick Williams,CHI,21,82,40,42,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,1.2,0.9,0.9,1.8,20.7,1.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
173,De'Anthony Melton,PHI,25,77,50,27,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.3,1.6,0.5,2.5,24.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Aaron Nesmith,IND,23,73,30,43,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,1.0,0.8,0.5,3.2,19.3,1.0,0.0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Josh Richardson,NOP,29,65,24,41,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.3,1.1,0.3,1.8,20.1,1.0,0.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
176,James Wiseman,DET,22,45,11,34,19.3,10.0,4.2,7.5,55.8,0.1,0.4,20.0,1.5,2.2,70.1,1.6,4.3,5.9,0.7,1.1,0.2,0.6,2.4,19.3,8.0,0.0,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Brandon Clarke,MEM,26,56,32,24,19.5,10.0,4.1,6.2,65.6,0.0,0.1,16.7,1.8,2.5,71.9,1.6,3.9,5.5,1.3,1.0,0.6,0.7,2.3,21.4,6.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Jonathan Kuminga,GSW,20,67,38,29,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,1.4,0.6,0.5,2.3,18.7,1.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Onyeka Okongwu,ATL,22,80,41,39,23.1,9.9,4.0,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1.0,1.0,0.7,1.3,3.1,25.1,12.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Jalen Suggs,ORL,22,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1.0,2.0,3.0,2.9,1.8,1.3,0.5,2.3,21.5,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Shaedon Sharpe,POR,20,80,32,48,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,1.0,0.5,0.3,1.7,16.5,0.0,0.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Luka Samanic,UTA,23,7,2,5,23.0,9.9,3.7,8.1,45.6,1.1,4.4,25.8,1.3,1.9,69.2,0.0,4.3,4.3,2.1,1.4,0.9,0.3,2.4,20.2,0.0,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Herbert Jones,NOP,24,66,31,35,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.3,1.6,0.6,3.2,23.7,0.0,0.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Thomas Bryant,DEN,25,59,33,26,18.3,9.8,3.9,6.3,62.3,0.4,1.0,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.6,0.3,0.5,1.7,19.2,9.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Al Horford,BOS,37,63,44,19,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.6,0.5,1.0,1.9,25.5,7.0,0.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Josh Hart,NYK,28,76,42,34,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.5,1.2,0.3,2.6,27.6,10.0,0.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Julian Champagnie,SAS,22,17,7,10,18.8,9.7,3.5,7.6,45.4,1.9,4.8,40.2,0.8,1.0,82.4,0.6,2.9,3.5,0.6,0.6,0.4,0.3,1.5,16.1,1.0,0.0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Cam Reddish,POR,23,40,14,26,24.7,9.7,3.5,7.8,44.6,1.1,3.6,31.3,1.6,1.9,85.3,0.5,1.8,2.2,1.4,1.2,1.0,0.4,1.8,17.3,0.0,0.0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Coby White,CHI,23,74,37,37,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1.0,0.7,0.1,1.6,18.7,1.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Keita Bates-Diop,SAS,27,67,18,49,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1.0,2.7,3.7,1.5,0.8,0.7,0.3,0.9,18.5,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Caleb Martin,MIA,27,71,38,33,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.1,1.0,0.4,2.0,21.1,2.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Isaiah Joe,OKC,23,73,36,37,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.5,0.7,0.1,1.4,15.9,0.0,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Andrew Nembhard,IND,23,75,32,43,27.6,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,1.7,0.9,0.2,2.4,21.1,5.0,0.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Jalen Smith,IND,23,68,31,37,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,1.1,0.3,0.9,2.3,20.4,7.0,0.0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Jalen McDaniels,PHI,25,80,31,49,23.9,9.4,3.5,7.7,45.5,1.0,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.2,1.0,0.4,2.6,20.3,3.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Gabe Vincent,MIA,27,68,37,31,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1.0,1.1,87.2,0.4,1.7,2.1,2.5,1.4,0.9,0.1,2.3,17.3,0.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Donte DiVincenzo,GSW,26,72,42,30,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.6,1.3,0.1,1.8,23.0,4.0,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Kyle Anderson,MIN,29,69,36,33,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,1.0,4.4,5.3,4.9,1.5,1.1,0.9,2.1,27.7,10.0,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Chris Boucher,TOR,30,76,39,37,20.0,9.4,3.4,7.0,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.5,0.6,0.8,1.9,20.4,9.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Hamidou Diallo,DET,24,56,12,44,17.8,9.3,3.8,6.7,57.3,0.1,0.4,23.8,1.6,2.6,58.8,1.0,2.4,3.5,1.0,1.3,0.9,0.3,2.2,17.4,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
