Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
101,Gordon Hayward,CHA,33,50,20,30,31.5,14.7,5.5,11.6,47.5,1.0,3.2,32.5,2.6,3.2,81.1,0.7,3.6,4.3,4.1,2.0,0.8,0.2,1.4,27.3,2.0,0.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Trey Murphy III,NOP,23,79,39,40,31.0,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,0.8,1.1,0.5,2.0,25.2,1.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Tim Hardaway Jr.,DAL,31,71,37,34,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,0.3,3.2,3.5,1.8,0.8,0.7,0.2,1.7,23.1,0.0,0.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Dillon Brooks,MEM,27,73,46,27,30.3,14.3,5.4,13.6,39.6,2.0,6.0,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,1.4,0.9,0.2,3.3,24.1,0.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Collin Sexton,UTA,24,48,24,24,23.9,14.3,4.9,9.8,50.6,1.0,2.5,39.3,3.4,4.1,81.9,0.8,1.4,2.2,2.9,1.8,0.6,0.1,2.3,21.5,1.0,0.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jarrett Allen,CLE,25,68,44,24,32.6,14.3,5.9,9.2,64.4,0.0,0.1,10.0,2.4,3.3,73.3,3.3,6.5,9.8,1.7,1.4,0.8,1.2,2.3,33.2,32.0,0.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jonas Valanciunas,NOP,31,79,40,39,24.9,14.1,5.6,10.3,54.7,0.5,1.4,34.9,2.3,2.8,82.6,2.8,7.3,10.2,1.8,2.0,0.3,0.7,3.1,29.7,43.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Bobby Portis,MIL,28,70,47,23,26.0,14.1,5.7,11.5,49.6,1.4,3.7,37.0,1.4,1.8,76.8,2.2,7.4,9.6,1.5,1.2,0.4,0.2,1.6,28.6,38.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jalen Williams,OKC,22,75,36,39,30.3,14.1,5.5,10.6,52.1,1.0,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.6,1.4,0.5,2.5,28.3,3.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Bogdan Bogdanovic,ATL,30,54,27,27,27.9,14.0,5.1,11.3,44.7,2.7,6.7,40.6,1.2,1.4,83.1,0.4,2.6,3.1,2.8,1.2,0.8,0.3,1.6,24.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Markelle Fultz,ORL,25,60,29,31,29.6,14.0,5.8,11.3,51.4,0.5,1.5,31.0,1.9,2.4,78.3,1.2,2.8,3.9,5.7,2.3,1.5,0.4,2.2,30.5,3.0,0.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Chris Paul,PHX,38,59,33,26,32.0,13.9,5.0,11.3,44.0,1.7,4.4,37.5,2.3,2.7,83.1,0.5,3.8,4.3,8.9,1.9,1.5,0.4,2.1,36.1,17.0,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Saddiq Bey,ATL,24,77,24,53,27.6,13.8,4.6,10.9,42.2,2.0,5.4,36.1,2.7,3.1,86.1,1.3,3.4,4.7,1.5,0.9,0.9,0.2,1.6,24.0,4.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Luguentz Dort,OKC,24,74,36,38,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33.0,2.7,3.5,77.2,1.7,2.9,4.6,2.1,1.2,1.0,0.3,3.3,25.1,5.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Malik Monk,SAC,25,77,47,30,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,1.9,0.6,0.3,1.6,23.3,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Rudy Gobert,MIN,31,70,34,36,30.7,13.4,5.1,7.8,65.9,0.0,0.0,0.0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,1.7,0.8,1.4,3.0,34.0,35.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
