Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kessler Edwards,SAC,22,36,17,19,10.7,2.8,1.0,2.6,38.7,0.5,1.5,30.9,0.3,0.4,73.3,0.6,1.1,1.7,0.6,0.4,0.4,0.2,1.1,7.1,0.0,0.0,0.1
Moussa Diabate,LAC,21,22,10,12,8.9,2.7,1.1,2.1,51.1,0.0,0.1,50.0,0.5,0.7,62.5,1.4,0.9,2.3,0.2,0.4,0.3,0.4,0.7,7.3,0.0,0.0,-1.0
Jaden Springer,PHI,20,16,13,3,5.6,2.6,1.1,2.2,48.6,0.1,0.3,40.0,0.4,0.5,75.0,0.4,0.5,0.9,0.5,0.2,0.4,0.2,0.9,6.1,0.0,0.0,-0.2
Mamadi Diakite,CLE,26,22,15,7,8.0,2.6,1.1,2.3,48.0,0.3,1.0,33.3,0.1,0.1,100,0.4,1.0,1.4,0.4,0.5,0.2,0.4,1.2,6.0,0.0,0.0,-0.4
Isaiah Mobley,CLE,23,12,8,4,7.0,2.6,1.0,2.3,42.9,0.3,0.7,37.5,0.3,0.3,100,0.3,1.3,1.7,0.3,0.1,0.3,0.3,0.7,6.6,0.0,0.0,2.6
Ish Smith,DEN,34,43,25,18,9.3,2.5,1.2,3.0,39.7,0.0,0.3,16.7,0.0,0.1,50.0,0.1,1.1,1.3,2.3,1.0,0.2,0.2,0.8,7.5,0.0,0.0,-0.8
Lester Quinones,GSW,22,4,4,0,4.5,2.5,0.5,1.3,40.0,0.5,1.0,50.0,1.0,1.5,66.7,0.3,0.5,0.8,0.5,1.3,0.3,0.0,0.0,3.7,0.0,0.0,1.5
Frank Kaminsky,HOU,30,36,13,23,6.5,2.5,0.9,1.8,49.2,0.4,0.9,39.4,0.4,0.4,87.5,0.2,1.3,1.4,0.9,0.3,0.2,0.1,0.6,6.1,0.0,0.0,-0.1
Jeff Dowtin Jr.,TOR,26,25,17,8,10.3,2.4,1.0,2.3,43.9,0.2,0.6,31.3,0.2,0.4,66.7,0.2,0.7,0.9,1.2,0.2,0.4,0.1,0.5,6.6,0.0,0.0,-0.4
Neemias Queta,SAC,23,5,1,4,5.7,2.4,1.2,1.8,66.7,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.2,2.2,0.2,0.2,0.0,0.4,1.4,6.3,0.0,0.0,-6.0
Theo Pinson,DAL,27,40,19,21,8.1,2.4,0.8,2.2,35.6,0.6,1.6,35.5,0.3,0.3,84.6,0.3,1.3,1.6,1.2,0.3,0.2,0.0,0.9,6.2,1.0,1.0,-1.3
John Butler Jr.,POR,20,19,4,15,11.6,2.4,0.9,2.8,32.1,0.4,1.8,22.9,0.2,0.2,75.0,0.2,0.7,0.9,0.6,0.1,0.4,0.5,1.2,6.8,0.0,0.0,-3.7
Scotty Pippen Jr.,LAL,22,6,1,5,5.3,2.3,0.7,2.0,33.3,0.2,0.5,33.3,0.8,1.5,55.6,0.3,0.3,0.7,0.3,0.3,0.3,0.2,0.5,4.8,0.0,0.0,-0.2
Trent Forrest,ATL,25,23,9,14,12.0,2.3,1.1,2.6,41.7,0.0,0.1,0.0,0.1,0.1,66.7,0.2,1.4,1.6,1.7,0.7,0.3,0.1,0.7,7.2,0.0,0.0,-2.5
Dalen Terry,CHI,20,38,19,19,5.6,2.2,0.8,1.9,44.4,0.2,0.7,25.9,0.4,0.6,66.7,0.3,0.7,1.0,0.6,0.2,0.3,0.1,0.6,5.3,0.0,0.0,0.3
Ron Harper Jr.,TOR,23,9,6,3,5.3,2.2,0.9,1.8,50.0,0.3,1.0,33.3,0.1,0.1,100,0.3,0.4,0.8,0.4,0.0,0.0,0.1,0.3,4.2,0.0,0.0,2.1
Justin Champagnie,BOS,22,5,4,1,6.9,2.2,1.0,3.0,33.3,0.2,1.0,20.0,0.0,0.0,0.0,0.6,1.0,1.6,0.8,0.0,0.2,0.0,0.4,5.9,0.0,0.0,-0.8
Kennedy Chandler,MEM,20,36,22,14,7.8,2.2,1.0,2.3,42.2,0.1,0.4,13.3,0.2,0.4,46.2,0.3,0.8,1.1,1.6,0.5,0.3,0.1,0.4,6.8,0.0,0.0,-1.1
Khem Birch,SAS,30,20,9,11,8.1,2.2,1.0,1.6,59.4,0.1,0.1,50.0,0.2,0.3,80.0,0.4,0.9,1.3,0.4,0.4,0.3,0.3,1.2,5.3,0.0,0.0,0.3
Andre Iguodala,GSW,39,8,3,5,14.1,2.1,0.9,1.9,46.7,0.1,1.1,11.1,0.3,0.4,66.7,0.4,1.8,2.1,2.4,1.1,0.5,0.4,1.4,9.7,0.0,0.0,4.4
Davon Reed,LAL,28,43,29,14,8.0,2.1,0.7,2.0,33.3,0.4,1.1,37.0,0.4,0.6,66.7,0.2,1.1,1.4,0.5,0.5,0.3,0.1,0.9,5.4,0.0,0.0,-2.3
Nerlens Noel,BKN,29,17,4,13,11.5,2.1,0.8,2.1,36.1,0.1,0.1,50.0,0.5,0.7,66.7,0.6,2.1,2.7,0.6,0.8,0.9,0.6,1.9,10.0,0.0,0.0,-4.4
Chris Silva,DAL,26,1,1,0,3.0,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
Donovan Williams,ATL,21,2,1,1,2.1,2.0,1.0,2.5,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,3.0
Garrett Temple,NOP,37,25,16,9,6.5,2.0,0.7,1.8,40.0,0.4,1.0,42.3,0.1,0.2,75.0,0.2,0.5,0.7,0.5,0.2,0.4,0.1,0.6,4.8,0.0,0.0,-0.7
Stanley Umude,DET,24,1,0,1,2.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,3.0
Vince Williams Jr.,MEM,22,15,7,8,7.0,2.0,0.8,2.7,30.0,0.3,1.9,14.3,0.1,0.1,100,0.3,0.7,1.0,0.3,0.3,0.4,0.1,0.8,4.9,0.0,0.0,-2.3
Ryan Rollins,GSW,20,12,5,7,5.2,1.9,0.6,1.7,35.0,0.3,0.8,33.3,0.5,0.5,100,0.3,0.8,1.0,0.5,1.3,0.1,0.1,0.8,3.0,0.0,0.0,-3.9
Trevor Hudgins,HOU,24,5,0,5,5.7,1.8,0.4,1.8,22.2,0.4,1.6,25.0,0.6,0.6,100,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,2.5,0.0,0.0,0.6
Alize Johnson,SAS,27,4,1,3,7.4,1.8,0.8,1.5,50.0,0.0,0.5,0.0,0.3,0.5,50.0,0.5,2.0,2.5,0.3,1.0,0.3,0.0,0.8,4.9,0.0,0.0,3.0
Greg Brown III,POR,21,16,10,6,5.8,1.8,0.7,1.8,39.3,0.1,0.4,14.3,0.3,0.8,41.7,0.1,1.1,1.2,0.2,0.4,0.3,0.3,0.8,4.8,0.0,0.0,-0.3
Xavier Moon,LAC,28,4,2,2,4.9,1.8,0.8,2.3,33.3,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.8,0.8,1.3,0.3,0.0,0.0,0.5,4.3,0.0,0.0,0.8
Dylan Windler,CLE,26,3,3,0,3.5,1.7,0.7,1.0,66.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,2.8,0.0,0.0,-0.3
Alex Len,SAC,30,26,15,11,6.2,1.7,0.6,1.2,53.3,0.0,0.1,0.0,0.4,0.6,68.8,0.9,1.4,2.3,0.5,0.6,0.2,0.4,1.1,6.2,0.0,0.0,0.7
Buddy Boeheim,DET,23,10,2,8,9.0,1.6,0.5,2.7,18.5,0.4,2.5,16.0,0.2,0.2,100,0.2,0.4,0.6,0.4,0.0,0.2,0.0,0.6,3.5,0.0,0.0,0.3
JD Davison,BOS,20,12,11,1,5.5,1.6,0.7,1.6,42.1,0.2,0.6,28.6,0.1,0.2,50.0,0.2,0.6,0.8,0.9,0.3,0.2,0.2,0.4,4.5,0.0,0.0,-0.5
Tony Bradley,CHI,25,12,5,7,2.8,1.6,0.5,1.0,50.0,0.3,0.4,60.0,0.3,0.3,100,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,3.2,0.0,0.0,0.9
Isaiah Todd,WAS,21,6,2,4,10.2,1.5,0.5,3.2,15.8,0.2,1.7,10.0,0.3,0.3,100,0.3,1.7,2.0,0.7,0.3,0.2,0.0,0.7,5.1,0.0,0.0,-1.2
Jordan Schakel,WAS,25,2,0,2,3.1,1.5,0.5,1.0,50.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,3.8,0.0,0.0,3.0
Kendall Brown,IND,20,6,1,5,6.7,1.5,0.7,1.2,57.1,0.0,0.2,0.0,0.2,0.3,50.0,0.3,0.7,1.0,0.5,0.3,0.7,0.0,1.5,5.1,0.0,0.0,0.7
Keon Ellis,SAC,23,16,7,9,4.4,1.5,0.4,1.0,43.8,0.4,0.8,50.0,0.3,0.4,57.1,0.3,0.3,0.5,0.4,0.1,0.3,0.1,0.6,3.7,0.0,0.0,-1.3
Mfiondu Kabengele,BOS,25,4,3,1,9.1,1.5,0.5,1.8,28.6,0.0,0.8,0.0,0.5,0.5,100,1.3,1.3,2.5,0.0,0.3,0.5,0.0,0.8,5.8,0.0,0.0,-1.3
Matthew Dellavedova,SAC,32,32,19,13,6.6,1.5,0.5,1.6,34.0,0.3,0.8,33.3,0.1,0.2,57.1,0.0,0.4,0.4,1.3,0.3,0.2,0.0,0.6,4.2,0.0,0.0,-1.6
Wendell Moore Jr.,MIN,21,29,16,13,5.3,1.4,0.6,1.5,41.9,0.1,0.6,11.8,0.1,0.2,80.0,0.1,0.5,0.6,0.6,0.3,0.3,0.2,0.4,4.2,0.0,0.0,-1.8
Thanasis Antetokounmpo,MIL,30,37,25,12,5.6,1.4,0.5,1.2,43.5,0.0,0.2,0.0,0.3,0.6,50.0,0.4,0.8,1.2,0.4,0.3,0.1,0.1,0.6,3.6,0.0,0.0,-3.1
PJ Dozier,SAC,26,16,11,5,5.0,1.4,0.6,2.1,30.3,0.1,1.0,12.5,0.0,0.0,0.0,0.1,0.8,0.9,0.6,0.3,0.4,0.1,0.4,4.4,0.0,0.0,-1.4
Braxton Key,DET,26,3,0,3,3.0,1.3,0.3,0.3,100,0.0,0.0,0.0,0.7,0.7,100,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,-1.0
KZ Okpala,SAC,24,35,19,16,7.1,1.3,0.5,1.1,42.1,0.2,0.6,33.3,0.2,0.2,87.5,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,4.0,0.0,0.0,-0.3
Tyrese Martin,ATL,24,16,10,6,4.1,1.3,0.6,1.4,39.1,0.1,0.4,14.3,0.1,0.1,100,0.3,0.4,0.8,0.1,0.1,0.1,0.0,0.1,2.5,0.0,0.0,0.1
Ryan Arcidiacono,POR,29,20,9,11,8.6,1.3,0.5,1.9,24.3,0.4,1.2,34.8,0.0,0.0,0.0,0.0,0.8,0.8,1.2,0.4,0.3,0.0,0.9,4.3,0.0,0.0,-2.0
Cole Swider,LAL,24,7,2,5,5.9,1.3,0.4,1.3,33.3,0.4,1.1,37.5,0.0,0.0,0.0,0.1,0.9,1.0,0.6,0.0,0.0,0.0,0.4,3.3,0.0,0.0,0.4
Facundo Campazzo,DAL,32,8,2,6,6.5,1.3,0.4,1.6,23.1,0.4,1.4,27.3,0.1,0.3,50.0,0.0,0.3,0.3,1.1,0.4,0.8,0.0,0.4,5.1,0.0,0.0,1.4
Vit Krejci,ATL,23,29,15,14,5.7,1.2,0.5,1.3,40.5,0.2,0.7,23.8,0.0,0.1,50.0,0.2,0.7,0.9,0.6,0.2,0.2,0.0,0.6,3.6,0.0,0.0,-0.1
Jack White,DEN,25,17,13,4,3.9,1.2,0.5,1.1,42.1,0.2,0.5,33.3,0.1,0.2,66.7,0.4,0.6,1.0,0.2,0.1,0.2,0.1,0.5,3.6,0.0,0.0,-1.0
Noah Vonleh,BOS,27,23,17,6,7.5,1.1,0.5,1.0,45.8,0.0,0.2,25.0,0.1,0.1,100,0.8,1.3,2.1,0.3,0.5,0.1,0.3,1.5,4.9,0.0,0.0,-0.6
Chima Moneke,SAC,27,2,1,1,4.0,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,2.0,0.0,0.0,-4.5
Joe Wieskamp,TOR,23,9,6,3,5.5,1.0,0.3,1.6,21.4,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.1,0.0,0.0,0.3,1.9,0.0,0.0,0.2
Kobi Simmons,CHA,25,5,1,4,5.6,1.0,0.2,1.2,16.7,0.2,1.0,20.0,0.4,0.4,100,0.2,0.6,0.8,1.0,0.2,0.0,0.4,0.0,4.5,0.0,0.0,-3.8
Malcolm Hill,CHI,27,5,4,1,1.8,1.0,0.4,0.8,50.0,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.7,0.0,0.0,1.8
Trevor Keels,NYK,19,3,3,0,2.7,1.0,0.3,1.3,25.0,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-6.0
Justin Jackson,BOS,28,23,15,8,4.7,0.9,0.3,1.2,25.9,0.2,0.9,25.0,0.0,0.1,50.0,0.1,0.7,0.7,0.4,0.1,0.2,0.2,0.3,3.3,0.0,0.0,-3.1
Marko Simonovic,CHI,23,7,3,4,2.8,0.9,0.3,1.0,28.6,0.1,0.6,25.0,0.1,0.3,50.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,1.2,0.0,0.0,2.1
Dereon Seabron,NOP,23,5,2,3,2.3,0.8,0.4,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,2.0
Vernon Carey Jr.,UTA,22,11,8,3,2.6,0.5,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.2,100,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,3.1,0.0,0.0,-0.9
Devon Dotson,WAS,23,6,1,5,8.9,0.5,0.2,1.7,10.0,0.2,0.7,25.0,0.0,0.0,0.0,1.0,0.7,1.7,1.3,0.5,0.8,0.0,1.5,6.5,0.0,0.0,-0.5
Leandro Bolmaro,UTA,22,14,8,6,4.9,0.4,0.2,1.4,15.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.5,0.5,0.2,0.1,0.7,2.1,0.0,0.0,0.1
Alondes Williams,BKN,24,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,-0.8,0.0,0.0,-5.0
Deonte Burton,SAC,29,2,1,1,3.2,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
Frank Jackson,UTA,25,1,0,1,5.1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,-2.0
Michael Foster Jr.,PHI,20,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Sterling Brown,LAL,28,4,2,2,6.1,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8,1.3,2.0,0.5,0.0,0.8,0.0,1.0,5.4,0.0,0.0,-1.0
